country,subdivision,operator_name,operator_url,region_id_in_project,current_tier,phenomenon,coverage_status,data_format,probe_result,available_anchor,annual_anchor_TWh,recommended_action,recommended_tier_landing,loader_pattern_hint,priority_score,notes
SLV / El Salvador,,UT (Unidad de Transacciones),https://www.ut.com.sv/,,not-modelled,none-expected,unknown,unreachable,404 on root probe,IRENA Renewable Energy Statistics 2024 (El Salvador VRE share),0.2,introduce-as-T3,T3,not-applicable,0.0000,Probe returned 404 on root; UT publishes daily operation reports historically as PDF. Solar curtailment minor.
SRB,,Elektromreza Srbije (EMS AD),https://www.ems.rs/,,not-modelled,curtailment-renewable,unknown,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Serbia TSO. ENTSO-E member; publishes daily/monthly operational reports but no curtailment-specific anchor identified.
SVK / Slovakia,,SEPS (Slovenska elektrizacna prenosova sustava),https://www.sepsas.sk/en/,,not-modelled,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,ENTSO-E A75 available; no public SEPS curtailment anchor found; low VRE share limits priority.
SVN / Slovenia,,ELES,https://www.eles.si/en,,not-modelled,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,ENTSO-E A75 available; no public ELES curtailment anchor found.
Samoa,National,Electric Power Corporation (EPC),https://www.epc.ws/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Diesel+solar+hydro ~0.13 TWh; no published curtailment time series.
Sao Tome and Principe,,Empresa de Agua e Electricidade (EMAE),https://www.emae.st/,,not-modelled,curtailment-renewable,unknown,unreachable,homepage-timeout,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Two island grids ~25MW; diesel; site sporadic.
Singapore,,SP Group / SP PowerGrid,https://www.spgroup.com.sg/,,not-modelled,none-expected,documented-gap,JS-rendered-SPA,SP Group consumer-app focused; no operations data,IRENA Renewable Capacity Statistics 2024 Singapore,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,SP PowerGrid = transmission+distribution licensee. Operations governed by EMA PSO. Cross-ref EMA row.
Solomon Islands,National,Solomon Power (SIEA),https://www.solomonpower.com.sb/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Diesel-dominated island system ~0.1 TWh; Tina River hydro under construction; no curtailment data.
South Sudan,,South Sudan Electricity Corporation (SSEC),https://ssec.gov.ss/,,not-modelled,both,unknown,unreachable,homepage-timeout,GGFR South Sudan 2024 (flare),0.5,blocked-document-only,not-applicable,not-applicable,0.0000,Juba diesel grid <100MW; oil flaring relevant via GGFR; no public data.
Sudan,,Sudanese Electricity Transmission Company (SETCO) / National Electricity Corporation (NEC),https://nec.gov.sd/,,not-modelled,curtailment-renewable,unknown,unreachable,homepage-timeout,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Civil-war-affected since 2023; Merowe/Roseires hydro; chronic blackouts; site offline.
Syria,,Public Establishment of Electricity (PEE),http://www.moelec.gov.sy/,,not-modelled,none-expected,documented-gap,unreachable,civil-war affected; ministry site sporadic; data 10+ years stale,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Syria grid fragmented post-2011. Limited renewables. Ministry of Electricity site barely functional.
Tajikistan,,Barki Tojik,http://www.barqitojik.tj/,,not-modelled,none-expected,documented-gap,no-public-data,minimal public site; no operations data,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Hydro-dominated grid (Nurek/Rogun). Spring spill exists but not published. Site frequently unreachable.
Timor-Leste,,Electricidade de Timor-Leste (EDTL),https://www.edtl.tl/,,not-modelled,none-expected,documented-gap,unreachable,edtl.tl refused connection on probe,IRENA Renewable Capacity Statistics 2024 Timor-Leste,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,EDTL state utility; ~150MW Hera+Betano HFO plants dominate. Solar ~5MW. Tiny grid no curtailment public data.
Tonga,National,Tonga Power Limited (TPL),https://www.tongapower.to/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Tongatapu+outer islands ~0.06 TWh; TERM 2020 plan; no live curtailment data.
Turkmenistan,,Türkmenenergo,https://www.energetika.gov.tm/,,not-modelled,none-expected,documented-gap,no-public-data,no public website with operations data,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Closed-regime utility; no public dispatch or curtailment data. Grid is gas-dominated; minimal renewables (<5%).
Tuvalu,National,Tuvalu Electricity Corporation (TEC),https://gov.tv/,,not-modelled,curtailment-renewable,documented-gap,no-public-data,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,No dedicated TEC website found; Funafuti diesel+PV; <0.01 TWh; no curtailment anchor.
USA,Southwest (non-CAISO),Western Area Power Administration,https://www.wapa.gov/,,not-modelled,curtailment-renewable,unknown,no-public-data,no-curtailment-figure,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,WAPA is a federal PMA covering AZ/NV/UT/WY; no curtailment TWh published; EIA fuel-type covers via WACM/WALC BAs.
USA,Pacific Northwest non-BPA,Northwest Power Pool / WPP / NWPP RC,https://www.nwpp.org/,,not-modelled,curtailment-renewable,unknown,no-public-data,no-curtailment-figure,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,NWPP Reliability Coordinator covers WECC north; member-utility BAs (PacifiCorp PACE/PACW Idaho Power IPCO PSCO etc.) report via EIA but no curtailment TWh.
USA,Southwest desert,Arizona Public Service / Salt River Project / NV Energy,https://www.eia.gov/opendata/,,not-modelled,curtailment-renewable,unknown,JSON-API,known-public-API,EIA Hourly Electric Grid Monitor (AZPS/SRP/NEVP 2024),0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Western non-CAISO BAs hourly via EIA; no published per-BA curtailment TWh; structural gap.
USA,Kauai,Kauai Island Utility Cooperative,https://website.kiuc.coop/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,known-public-PDF,KIUC annual reports (no TWh curtailment figure published),0.0,blocked-document-only,not-applicable,not-applicable,0.0000,KIUC is independent of Hawaiian Electric; ~70% renewable but no public curtailment TWh.
USA,Alaska (Railbelt),Railbelt utilities (Chugach/MEA/HEA/GVEA/AEA),https://www.akenergyauthority.org/,,not-modelled,curtailment-renewable,documented-gap,no-public-data,no-curtailment-figure,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Six interconnected utilities; very low VRE share; no public curtailment data.
United Arab Emirates,Federal,ADNOC (flare phenomenon),https://www.adnoc.ae/,,not-modelled,flare-associated-gas,published,no-public-data,GGFR/VIIRS only; ADNOC reports zero-routine targets but no flare-volume series,GGFR Global Gas Flaring Tracker Report 2024 (UAE),0.5,introduce-as-T3,T3,not-applicable,0.0000,UAE flared ~0.5 BCM 2023 per GGFR; ADNOC zero-routine 2030 target. Existing T2 'uae' covers solar-curtailment phenomenon.
VCT / Saint Vincent and the Grenadines,,VINLEC (St. Vincent Electricity Services),https://www.vinlec.com/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,unprobed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Small island utility; mostly diesel + 5 MW hydro. No public dispatch data.
VEN / Venezuela,,CORPOELEC (Corporacion Electrica Nacional),https://www.corpoelec.gob.ve/,,not-modelled,none-expected,documented-gap,unreachable,unprobed,Ember Venezuela 2024 (hydro-dominated; chronic shortages),0.0,blocked-document-only,not-applicable,not-applicable,0.0000,State utility; political crisis. No reliable public dispatch data. Hydro spill from Guri reported anecdotally; no anchor.
Vanuatu,National,UNELCO Engie / VUI,https://www.unelco.com.vu/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Concession utility (Engie) Port Vila + VUI Luganville; <0.1 TWh; no published curtailment.
Wallis and Futuna,Overseas Collectivity (FRA),EEWF (covered under France),https://www.eewf.fr/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,French overseas collectivity; cross-ref to Europe-ENTSO-E task; isolated diesel grid <0.02 TWh.
XKX,,Kosovo Transmission System and Market Operator (KOSTT),https://www.kostt.com/,,not-modelled,curtailment-renewable,unknown,PDF-only,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Kosovo TSO. ENTSO-E member since 2020 (own control area); coal-dominant; minimal VRE; no curtailment archive.
Yemen,,Public Electricity Corporation (PEC),https://pec.gov.ye/,,not-modelled,none-expected,documented-gap,unreachable,civil-war: grid fragmented Houthi/PLC zones; no public data,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Yemen grid collapsed since 2015. Distributed solar dominant in many areas (off-grid). PEC site sporadically reachable.
USA,Hawaii (Maui),Maui Electric Company,https://www.hawaiianelectric.com/,hawaii-maui,T2,curtailment-renewable,published,XLSX-table,known-public-table,Hawaiian Electric RSWG 2024 monthly + annual workbook,0.05,leave-existing-T1+,not-applicable,Pattern-A,-0.0070,Maui island system; same RSWG dataset as Oahu.
Kenya,,Kenya Electricity Transmission Company (KETRACO) + Kenya Power + KenGen,https://www.ketraco.co.ke/,kenya,T2,curtailment-renewable,published,parseable-HTML-table,homepage-200,EPRA 2025 (geothermal overnight venting),0.1,leave-T3,T3,not-applicable,-0.0080,Project T2 anchored on EPRA geothermal venting; KETRACO/Kenya Power/KenGen sites have annual reports only; no live SCADA feed public.
Namibia,,NamPower,https://www.nampower.com.na/,namibia,T2,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,NamPower Integrated Strategic Business Plan 2025,0.1,leave-T3,T3,not-applicable,-0.0080,Project T2 anchored on NamPower ISB 2025; SAPP member; Ruacana hydro+IPP solar; no live dispatch feed.
United Arab Emirates,Abu Dhabi,Emirates Water and Electricity Company (EWEC) / TRANSCO,https://www.ewec.ae/,uae,T2,curtailment-renewable,documented-gap,parseable-HTML-table,EWEC publishes statements of capacity & projects; no live SCADA,IRENA Renewable Capacity Statistics 2024 UAE,0.1,leave-existing-T1+,not-applicable,not-applicable,-0.0080,EWEC procures Noor Abu Dhabi (1.2 GW) Al Dhafra (2 GW). TRANSCO transmission. Existing T2 'uae' aggregates UAE.
United Arab Emirates,Dubai,Dubai Electricity & Water Authority (DEWA),https://www.dewa.gov.ae/,uae,T2,curtailment-renewable,documented-gap,JS-rendered-SPA,DEWA portal app-based; sustainability reports as PDF,IRENA Renewable Capacity Statistics 2024 UAE,0.05,leave-existing-T1+,not-applicable,not-applicable,-0.0130,DEWA operates MBR Solar Park (~3 GW). Cross-ref existing T2 'uae'.
USA,Hawaii (Big Island),Hawaii Electric Light Company,https://www.hawaiianelectric.com/,hawaii-island,T2,curtailment-renewable,published,XLSX-table,known-public-table,Hawaiian Electric RSWG 2024 monthly + annual workbook (58.7% renewable),0.1,leave-existing-T1+,not-applicable,Pattern-A,-0.0140,Highest renewable share of the three island grids.
BGD / Bangladesh,National,BPDB (Bangladesh Power Development Board),https://bpdb.gov.bd/,bangladesh,T2,curtailment-renewable,published,PDF-only,TLS-cert-error,BPDB Daily Electricity Generation Report (misc.bpdb.gov.bd/storage/daily_entry/YYYY-MM-DD.pdf),0.05,leave-existing-T1+,not-applicable,not-applicable,-0.0220,Daily PDF with stable URL pattern - viable Pattern-D candidate for future T1 promotion
Oman,,Oman Electricity Transmission Company (OETC),https://omangrid.com/,oman,T2,curtailment-renewable,documented-gap,PDF-only,annual transmission reports PDF; 7-year statement on site,IRENA Renewable Capacity Statistics 2024 Oman,0.05,leave-existing-T1+,not-applicable,not-applicable,-0.0220,OETC under Nama Holding. Ibri II (500 MW PV) + Manah I/II in pipeline. Existing T2 'oman'.
PAK / Pakistan,National,NTDC / NPCC (National Power Control Centre),https://ntdc.gov.pk/,pakistan,T2,curtailment-renewable,published,PDF-only,timeout,Renewables First Pakistan Electricity Review 2024 (1 TWh solar 2024),0.05,leave-existing-T1+,not-applicable,not-applicable,-0.0220,NTDC IGCEP + NPCC dispatch data only in periodic PDFs; 5% RE share 2024; small absolute curtailment
RUS,Murmansk (Kola Peninsula),SO UPS - Kola wind dispatch,https://www.so-ups.ru/functioning/markets/surveys/renewable/2024/,russia-murmansk-wind,T2,curtailment-renewable,published,PDF-only,not-probed,SO UPS 2024 monthly DPM VIE reports (Kola wind dispatch limits 84 MW Sep 2024),0.05,leave-existing-T1+,not-applicable,not-applicable,-0.0220,Existing T2 narrow-source upgrade region. SO UPS DPM VIE monthly PDFs cite explicit wind output caps.
Saudi Arabia,,Saudi Electricity Company (SEC),https://www.se.com.sa/,saudi-solar,T2,curtailment-renewable,documented-gap,PDF-only,SEC annual reports PDF; National Grid SA site for transmission,IRENA Renewable Capacity Statistics 2024 Saudi Arabia,0.05,leave-existing-T1+,not-applicable,not-applicable,-0.0220,SEC + National Grid SA + ECRA. Sudair (1.5 GW) + Sakaka online; PIF/Acwa pipeline. Existing T2 'saudi-solar'.
PER / Peru,,COES-SINAC (Comite de Operacion Economica del SINAC),https://www.coes.org.pe/,peru,T1a,curtailment-renewable,published,parseable-HTML-table,200 / text/html,COES Vertimiento 2024 + IPEEM Anuario (~0.3 TWh hydro+RER),0.3,leave-existing-T1+,T1a,Pattern-A,-0.0240,Already T1a via COES live generation feed shaped to vertimiento anchor. Probe confirms server-rendered HTML.
CHE,,Swissgrid,https://www.swissgrid.ch/en/home/operation/grid-data.html,switzerland,T1c,curtailment-renewable,published,XML-feed,not-probed,ENTSO-E Swissgrid 2024 PV curtailment (rate calibrated from Czech CEPS),0.3,leave-existing-T1+,not-applicable,not-applicable,-0.0240,"Cross-ref: covered in europe-entsoe Task 7 (CH is ENTSO-E observer, no CACM agreement); existing T1c live-neighbour-anchored."
Thailand,,Electricity Generating Authority of Thailand (EGAT),https://www.egat.co.th/home/en/,thailand,T2,curtailment-renewable,documented-gap,parseable-HTML-table,EGAT statistics page lists 6 categories (capacity/generation/fuel/transmission/sales/reservoir); annual not real-time,Ember Asia Data Transparency 2023 (Thailand),0.3,leave-existing-T1+,not-applicable,not-applicable,-0.0240,EGAT generation+transmission monopoly; MEA/PEA distribute. EPPO holds national stats (XLSX). Existing T2 'thailand' covers solar curtailment.
Iran,,TAVANIR / IGMC,https://www.tavanir.org.ir/,iran,T2,curtailment-renewable,documented-gap,JS-rendered-SPA,Persian-language portal with stats dashboards; geo-blocking common from West,IRENA Renewable Capacity Statistics 2024 Iran,0.1,leave-existing-T1+,not-applicable,not-applicable,-0.0260,TAVANIR/IGMC publish SCADA dashboards in Farsi; sanctions/geo-block frictional. Solar+wind <2 GW. Existing T2 'iran'.
USA,Hawaii (Oahu),Hawaiian Electric Company,https://www.hawaiianelectric.com/,hawaii-oahu,T2,curtailment-renewable,published,XLSX-table,known-public-table,Hawaiian Electric RSWG 2024 monthly + annual workbook,0.2,leave-existing-T1+,not-applicable,Pattern-A,-0.0280,RSWG monthly reports publish per-island curtailment; provisional anchor.
Canada,Alberta,Alberta Electric System Operator (AESO),https://www.aeso.ca/,alberta,T1a,curtailment-renewable,published,parseable-HTML-table,known-public-table,AESO 2024 CSD report (~0.4 TWh wind curtailment),0.4,leave-existing-T1+,not-applicable,Pattern-A,-0.0320,AESO Current Supply Demand HTML table refreshed every minute.
IND / India,Karnataka,KSLDC (Karnataka State Load Despatch Centre),https://kptclsldc.in/,india-south,T2,curtailment-renewable,published,parseable-HTML-table,200,KSLDC RE Curtailment Details + SCADA portal (sda.kptclsldc.in),0.4,leave-existing-T1+,not-applicable,not-applicable,-0.0320,Real-time wind/solar dashboard + daily curtailment PDFs; rolls into india-south aggregate
Israel,,Israel Electric Corporation (IEC),https://www.iec.co.il/,israel,T2,curtailment-renewable,documented-gap,parseable-HTML-table,IEC site has stats pages; production stats annual,IRENA Renewable Capacity Statistics 2024 Israel,0.4,leave-existing-T1+,not-applicable,not-applicable,-0.0320,IEC retained generation/distribution; Noga is system operator. Cross-ref existing T2 'israel'.
PRY / Paraguay,,ANDE (Administracion Nacional de Electricidad),https://www.ande.gov.py/,paraguay,T3,none-expected,documented-gap,parseable-HTML-table,200 / text/html,Itaipu Annual Report 2024 (binational hydro),0.5,leave-T3,T3,not-applicable,-0.0400,"Paraguay grid is essentially binational hydro (Itaipu, Yacyreta). No VRE curtailment phenomenon. Existing T3 static at 0.5 TWh hydro spill proxy."
URY / Uruguay,,UTE (Administracion Nacional de Usinas y Trasmisiones),https://portal.ute.com.uy/,uruguay,T3,curtailment-renewable,documented-gap,parseable-HTML-table,unprobed,ADME Informe Anual 2024 (wind curtailment ~0.5 TWh),0.5,leave-T3,T3,not-applicable,-0.0400,UTE is utility; ADME is system operator (separate row). Existing T3 region keyed to Uruguay.
IND / India,Eastern Region,ERLDC (Eastern Regional Load Despatch Centre),https://erldc.in/,india-east,T2,curtailment-renewable,published,PDF-only,timeout,ERLDC daily PDFs; lower RE share but rising solar in Odisha/WB,0.1,leave-existing-T1+,not-applicable,not-applicable,-0.0440,Covers WB/Odisha/Bihar/Jharkhand/Sikkim; existing india-east fallback uses ERLDC
Egypt,,Egyptian Electricity Transmission Company (EETC),http://www.eetc.net.eg/,egypt,T2,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,Ember Egypt 2024 + NREA Benban grid disconnections,0.6,leave-T3,T3,not-applicable,-0.0480,Project T2 anchored on Benban frequency disconnections (NREA); EETC site has grid code PDFs only; no live dispatch feed.
POL / Poland,,PSE,https://www.pse.pl/home,poland,T1a,curtailment-renewable,published,XML-feed,doc-cited / ENTSO-E A75,URE 2024 Redispatching Report (PSE 597 GWh PV + 125 GWh wind + DSO additions),0.7,leave-existing-T1+,not-applicable,not-applicable,-0.0560,T1a: ENTSO-E A75 multiplied by URE 2024 cited rates (3.5% solar / 0.5% wind).
GRC / Greece,,IPTO (ADMIE),https://www.admie.gr/en,greece,T1a,curtailment-renewable,published,XML-feed,doc-cited / ENTSO-E A75,HAEE Energy News Q1 2025 (IPTO 2024 RES curtailment 860 GWh),0.86,leave-existing-T1+,not-applicable,not-applicable,-0.0688,T1a: ENTSO-E A75 multiplied by HAEE-cited 3.6% wind+solar aggregate rate.
URY / Uruguay,,ADME (Administracion del Mercado Electrico),https://adme.com.uy/,uruguay,T3,curtailment-renewable,published,XLSX-table,200 / text/html,ADME Informe Anual 2024 + price/water XLT files,0.5,promote-to-T1,T1a,Pattern-A,-0.0700,Server-rendered PHP; publishes spot price + water value as XLT (Excel). Wind curtailment events in winter low-demand periods documented but not as a single anchor.
TWN,National,Taiwan Power Company (Taipower),https://www.taipower.com.tw/,taiwan,T2,curtailment-renewable,published,JS-rendered-SPA,homepage-200-open-data-section-spa,Taipower 2024 Renewable Generation Open Data,0.3,leave-existing-T1+,not-applicable,not-applicable,-0.0780,Open-data section confirmed but interactive dashboards (SPA); existing static covers it; curtailment growing 2024
Canada,Saskatchewan,SaskPower,https://www.saskpower.com/,saskatchewan,T2,curtailment-renewable,published,PDF-only,known-public-PDF,SaskPower 2024 Annual Report (~0.2 TWh wind curtailment),0.2,leave-existing-T1+,not-applicable,Pattern-A,-0.0880,SaskPower wind fleet ~0.6 GW; curtailment from transmission constraints.
Malaysia,Peninsular,Tenaga Nasional Berhad (TNB) / Single Buyer (GSO),https://www.tnb.com.my/,malaysia,T2,curtailment-renewable,documented-gap,PDF-only,TNB publishes Daily System Generation Summary in investor section; PDF format,Malaysia Energy Commission ST 2024 Annual Report,0.2,leave-existing-T1+,not-applicable,not-applicable,-0.0880,TNB Grid System Operator runs Peninsular dispatch; Single Buyer separate accounting unit. Existing T2 'malaysia'. SEDA tracks RE.
IND / India,Southern Region,SRLDC (Southern Regional Load Despatch Centre),https://srldc.in/,india-south,T2,curtailment-renewable,published,parseable-HTML-table,timeout,SRLDC WBES scheduling reports + daily PDFs (wbes.srldc.in/Report),1.2,leave-existing-T1+,not-applicable,not-applicable,-0.0960,WBES scheduling portal + daily PDFs; covers KA/TN/AP/TG/KL; india-south fallback uses SRLDC
CHL / Chile,Wind zones (Bio Bio/Araucania/Los Lagos),CEN (Coordinador Electrico Nacional) wind,https://www.coordinador.cl/,chile-wind,T3,curtailment-renewable,published,XLSX-table,unprobed,CEN ERV 2024 wind subset XLSX (~0.7 TWh),0.7,promote-to-T1,T1a,Pattern-A,-0.0980,Already in CEN ERV XLSX as separate wind subset. Currently held T3 because loader hasnt been wired; same XLSX feed as Atacama could lift it to T1a.
IND / India,Maharashtra,MSLDC (Maharashtra State Load Despatch Centre),http://www.mahasldc.in/,india-west,T2,curtailment-renewable,published,unreachable,TLS-cert-error,MSLDC daily reports (TLS cert error from probe location),0.2,leave-existing-T1+,not-applicable,not-applicable,-0.1000,Cert mismatch on www.mahasldc.in; reachable from India; rolls into india-west
MNG,National,Mongolian National Dispatching Center (NDC),https://www.nptg.mn/,mongolia,T2,curtailment-renewable,unknown,unreachable,homepage-econnrefused,NPTG fallback / IRENA 2024,0.2,leave-existing-T1+,not-applicable,not-applicable,-0.1000,NPTG site refused connection during probe; existing static modelling fallback; CCS-curtailed wind anchor
Israel,,Noga - Israel Independent System Operator,https://www.noga-iso.co.il/,israel,T2,curtailment-renewable,documented-gap,JS-rendered-SPA,Noga publishes Hebrew dashboard with real-time generation,IRENA Renewable Capacity Statistics 2024 Israel,0.4,leave-existing-T1+,not-applicable,not-applicable,-0.1040,Noga (since 2021) handles dispatch separated from IEC. PV ~5 GW; midday curtailment growing. Existing T2 'israel'.
KOR,Jeju Island,KPX Jeju Control Centre,https://www.kpx.or.kr/eng/,jeju,T2,curtailment-renewable,published,JS-rendered-SPA,known-spa,KPX Jeju Curtailment Report 2024,0.4,leave-existing-T1+,not-applicable,not-applicable,-0.1040,Already modelled as `jeju` static; highest %-curtailment in S Korea; data via SPA
Ethiopia,,Ethiopian Electric Power (EEP) / Ethiopian Electric Utility (EEU),https://www.eep.com.et/,ethiopia,T2,curtailment-renewable,documented-gap,JS-rendered-SPA,homepage-200,IRENA Ethiopia 2024 + GERD ramp-up,0.5,leave-T3,T3,not-applicable,-0.1300,Project T2 is hydro-spill proxy; EEP site is SPA with no dispatch feed; GERD operational data not public.
Indonesia,,Perusahaan Listrik Negara (PLN),https://web.pln.co.id/,indonesia,T2,curtailment-renewable,documented-gap,JS-rendered-SPA,homepage SPA; no transparency portal; data.go.id has limited PLN datasets,IEA Enhancing Indonesia Power System 2024,0.5,leave-existing-T1+,not-applicable,not-applicable,-0.1300,PLN vertically-integrated monopoly across Java-Bali + 600 isolated grids. Sumatra PV curtailment ~14% per studies. Existing T2 'indonesia'.
Morocco,,Office National de l'Electricite et de l'Eau Potable (ONEE),http://www.one.org.ma/,morocco,T2,curtailment-renewable,documented-gap,JS-rendered-SPA,homepage-200,ANRE Annual Report 2024,0.5,leave-T3,T3,not-applicable,-0.1300,Project T2 anchored on ANRE 2024 (south-north transmission constraint); ONEE site SPA; covers Western Sahara per project rule; no live dispatch.
IND / India,Gujarat,GSLDC (Gujarat State Load Despatch Centre),https://sldcguj.com/,india-west,T2,curtailment-renewable,published,unreachable,403,"Ember/IEEFA SET 2024 - Gujarat top RE state, 4.32 GW solar adds 2024",0.3,leave-existing-T1+,not-applicable,not-applicable,-0.1500,GSLDC publishes daily curtailment but probe blocked; rolls into india-west
Kazakhstan,,KEGOC (Kazakhstan Electricity Grid Operating Company),https://www.kegoc.kz/en/,kazakhstan,T2,curtailment-renewable,documented-gap,PDF-only,annual operational reports as PDF; no real-time API,IRENA Renewable Capacity Statistics 2024 Kazakhstan,0.4,leave-existing-T1+,not-applicable,not-applicable,-0.1760,KEGOC publishes annual ops reports (PDF). Wind curtailment ~2-3% per IRENA; no live data feed. Existing T2 region 'kazakhstan'.
UKR,,NPC Ukrenergo,https://ua.energy/,ukraine,T2,curtailment-renewable,published,PDF-only,not-probed,Ember 2024 Ukraine ~0.4 TWh solar curtailment (ENTSO-E absent post-war),0.4,leave-existing-T1+,not-applicable,not-applicable,-0.1760,Existing T2 region. Ukrenergo synchronised with ENTSO-E CE Mar 2022 but transparency platform reporting suspended; Ember anchor in use.
IND / India,Rajasthan,RSLDC (Rajasthan SLDC) / RRVPNL,https://rrvpnl.org/,india-north,T2,curtailment-renewable,published,unreachable,ECONNREFUSED,Rajasthan FY24-25 RE 57.35 BU (43.86% of 130.77 BU total),0.4,leave-existing-T1+,not-applicable,not-applicable,-0.2000,Largest solar capacity adds 2024 (7.09 GW); RSLDC publishes daily reports; rolls into india-north
IND / India,Western Region,WRLDC (Western Regional Load Despatch Centre),https://wrldc.in/,india-west,T2,curtailment-renewable,published,PDF-only,timeout,WRLDC daily/monthly RE reports (Maharashtra+Gujarat highest curtailment),0.5,leave-existing-T1+,not-applicable,not-applicable,-0.2200,Daily PDF reports; covers Gujarat/Maharashtra/MP/Goa; india-west fallback uses WRLDC
Jordan,,National Electric Power Company (NEPCO),https://www.nepco.com.jo/,jordan,T2,curtailment-renewable,published,PDF-only,NEPCO annual reports PDF (English+Arabic) with curtailment commentary,EMRC/NEPCO Annual Report 2023 (curtailment ~0.5 TWh),0.5,leave-existing-T1+,not-applicable,not-applicable,-0.2200,Jordan ~30% RE share 2024; chronic curtailment from south wind+solar transmission constraints. Existing T2 'jordan'.
NLD / Netherlands,,TenneT-NL,https://www.tennet.eu/,netherlands,T1b,curtailment-renewable,published,XML-feed,doc-cited / ENTSO-E A75,IEEFA May 2025 (Dutch 2024 wind+solar curtailment 3.0 TWh / 4.9% rate),3.0,leave-existing-T1+,not-applicable,not-applicable,-0.2400,T1b: IEEFA aggregate rate applied to ENTSO-E A75 wind+solar generation.
IND / India,Tamil Nadu,TNSLDC (Tamil Nadu State Load Despatch Centre),https://www.sldc.tn.gov.in/,india-south,T2,curtailment-renewable,published,unreachable,ECONNREFUSED,TNERC 2024 order on 249MW curtailment compensation (TNSLDC instructions),0.5,leave-existing-T1+,not-applicable,not-applicable,-0.2500,Material curtailment 2024 per TNERC; rolls into india-south
ARG / Argentina,,CAMMESA (Compania Administradora del Mercado Mayorista Electrico),https://cammesaweb.cammesa.com/,argentina,T3,curtailment-renewable,published,JS-rendered-SPA,ECONNREFUSED on probe,CAMMESA Informe Mensual 2024 + Informe Anual 2024 (wind curtailment Patagonia),1.0,leave-T3,T3,not-applicable,-0.2600,Existing project T3 region. CAMMESA publishes Informe Mensual via JS dashboards; bulk data via Memorias y Balances. Patagonia wind curtailment ~1 TWh.
CHL / Chile,,CEN (Coordinador Electrico Nacional) Atacama solar,https://www.coordinador.cl/,atacama,T1a,curtailment-renewable,published,XLSX-table,403 on direct probe,CEN Reduccion de Generacion Renovable 2024 XLSX (~2.5 TWh solar),2.5,leave-existing-T1+,T1a,Pattern-A,-0.3500,Already T1a via CEN ERV XLSX. Atacama region carries solar share.
IND / India,Northern Region,NRLDC (Northern Regional Load Despatch Centre),https://nrldc.in/,india-north,T2,curtailment-renewable,published,PDF-only,timeout,NRLDC Daily RE-Curtailment Report (nrldc.in/en/reports/daily-reports/re-curtailment-report/),0.8,leave-existing-T1+,not-applicable,not-applicable,-0.3520,Daily PDF + state SLDC feeds; covers Rajasthan/UP/Delhi/MP-north; existing india-north uses NRLDC fallback
KOR,Mainland,Korea Power Exchange (KPX) - System Operator,https://www.kpx.or.kr/eng/,south-korea,T2,curtailment-renewable,published,JS-rendered-SPA,homepage-200-epsis-spa,KPX EPSIS Renewable Utilization Rate 2024,1.5,leave-existing-T1+,not-applicable,not-applicable,-0.3900,EPSIS portal SPA; renewable utilization data exists but XHR-walled; existing static `south-korea` covers it
